MONTH,PRICE
2019-01-01,59.58
2019-02-01,61.13
2019-03-01,63.79
2019-04-01,68.58
2019-05-01,66.83
2019-06-01,59.76
2019-07-01,61.48
2019-08-01,57.67
2019-09-01,60.04
2019-10-01,57.27
2019-11-01,60.4
2019-12-01,63.35
2020-01-01,61.63
2020-02-01,53.35
2020-03-01,32.2
2020-04-01,21.04
2020-05-01,30.38
2020-06-01,39.46
2020-07-01,42.07
2020-08-01,43.44
2020-09-01,40.6
2020-10-01,39.9
2020-11-01,42.3
2020-12-01,48.73
2021-01-01,53.6
2021-02-01,60.46
2021-03-01,63.83
2021-04-01,62.95
2021-05-01,66.4
2021-06-01,71.8
2021-07-01,73.28
2021-08-01,68.87
2021-09-01,72.8
2021-10-01,82.06
2021-11-01,79.92
2021-12-01,72.87
2022-01-01,83.92
2022-02-01,93.54
2022-03-01,112.4
2022-04-01,103.41
