"직무별",2019,2020,2021
"IT기획자",403081,388724,360307
"IT컨설턴트",437900,458818,484732
"정보보호컨설턴트",340978,342406,347123
"업무분석가",501090,532243,548550
"데이터분석가",335799,347670,323184
"IT PM",362780,411329,406823
"IT PMO",410270,326211,345428
"SW 아키텍트",389104,421761,448240
"Infrastructure아키텍트",461684,517539,556512
"데이터 아키텍트",399985,437063,414770
"UI/UX 개발자",258696,302033,274465
"UI/UX 디자이너",,250345,228717
"응용SW 개발자",305985,323174,306034
"시스템SW 개발자",247970,253051,238787
"임베디드SW 개발자",271214,277998,261291
"데이터베이스 운용자",274324,298254,243285
"NW엔지니어",327598,350062,335974
"IT시스템운용자",278605,284286,297180
"IT지원 기술자",183743,203918,191065
"SW제품 기획자",426419,444306,383993
"IT서비스 기획자",383295,441052,347311
"IT기술영업",376746,372497,341672
"IT품질관리자",402554,438304,424780
"IT테스터",198611,207793,200136
"IT감리",340109,391741,424481
"IT감사",398085,274802,236877
"정보보호관리자",376529,391725,386114
"침해사고대응전문가",278202,327674,301482
"IT교육강사",321017,257614,279165
