Date,CPI
2020-01-01,100.09
2020-02-01,100.15
2020-03-01,99.94
2020-04-01,99.5
2020-05-01,99.4
2020-06-01,99.71
2020-07-01,99.63
2020-08-01,100.19
2020-09-01,100.74
2020-10-01,100.18
2020-11-01,100.08
2020-12-01,100.33
2021-01-01,101.04
2021-02-01,101.58
2021-03-01,101.84
2021-04-01,101.98
2021-05-01,102.05
2021-06-01,102.05
2021-07-01,102.26
2021-08-01,102.75
2021-09-01,103.17
2021-10-01,103.35
2021-11-01,103.87
2021-12-01,104.04
2022-01-01,104.69
2022-02-01,105.3
2022-03-01,106.06
2022-04-01,106.85
2022-05-01,107.56
,
