MONTH,RUSSIA,US
2019-01-01,7.26,3.07
2019-02-01,6.01,2.71
2019-03-01,5.18,2.93
2019-04-01,4.92,2.64
2019-05-01,4.34,2.61
2019-06-01,3.59,2.38
2019-07-01,3.62,2.34
2019-08-01,3.68,2.22
2019-09-01,4.21,2.57
2019-10-01,5.06,2.25
2019-11-01,5.15,2.63
2019-12-01,4.62,2.2
2020-01-01,3.63,2.02
2020-02-01,2.91,1.9
2020-03-01,2.72,1.78
2020-04-01,2.12,1.73
2020-05-01,1.58,1.75
2020-06-01,1.75,1.62
2020-07-01,1.8,1.74
2020-08-01,2.86,2.3
2020-09-01,3.95,1.92
2020-10-01,4.89,2.25
2020-11-01,4.84,2.59
2020-12-01,5.86,2.54
2021-01-01,7.27,2.67
2021-02-01,6.16,5.07
2021-03-01,6.13,2.56
2021-04-01,7.15,2.61
2021-05-01,8.91,2.89
2021-06-01,10.3,3.24
2021-07-01,12.51,3.8
2021-08-01,15.43,4.05
2021-09-01,22.84,5.11
2021-10-01,31.05,5.48
2021-11-01,27.62,5.02
2021-12-01,38.03,3.73
2022-01-01,28.26,4.33
2022-02-01,27.23,4.88
2022-03-01,42.39,6.53
2022-04-01,32.2,7.03
