Date,Open,High,Low,Close*,Adj Close**,Volume
2021-06-07,3.109,3.33,3.033,3.296,3.296,"825,190"
2021-06-14,3.315,3.369,3.166,3.215,3.215,"633,808"
2021-06-21,3.206,3.511,3.137,3.496,3.496,"344,000"
2021-06-28,3.502,3.814,3.485,3.7,3.7,"816,937"
2021-07-05,3.704,3.822,3.52,3.674,3.674,"541,079"
2021-07-12,3.673,3.769,3.584,3.674,3.674,"576,042"
2021-07-19,3.703,4.071,3.686,4.06,4.06,"530,528"
2021-07-26,4.025,4.187,3.855,3.914,3.914,"511,430"
2021-08-02,3.973,4.205,3.915,4.14,4.14,"652,778"
2021-08-09,4.168,4.185,3.846,3.861,3.861,"809,414"
2021-08-16,3.833,3.988,3.734,3.851,3.851,"558,681"
2021-08-23,3.862,4.397,3.838,4.37,4.37,"470,321"
2021-08-30,4.499,4.727,4.215,4.712,4.712,"843,474"
2021-09-06,4.71,5.058,4.557,4.938,4.938,"794,289"
2021-09-13,4.945,5.65,4.879,5.105,5.105,"1,067,548"
2021-09-20,5.015,5.183,4.735,5.14,5.14,"581,381"
2021-09-27,5.191,6.28,5.176,5.619,5.619,"1,050,558"
2021-10-04,5.628,6.466,5.393,5.565,5.565,"1,106,609"
2021-10-11,5.695,5.964,5.168,5.41,5.41,"956,677"
2021-10-18,5.299,5.379,4.825,5.28,5.28,"642,719"
2021-10-25,5.468,6.291,5.401,5.426,5.426,"609,051"
2021-11-01,5.31,5.876,5.116,5.516,5.516,"738,892"
2021-11-08,5.605,5.663,4.725,4.791,4.791,"800,402"
2021-11-15,4.903,5.394,4.713,5.065,5.065,"625,498"
2021-11-22,4.91,5.562,4.648,5.447,5.447,"367,123"
2021-11-29,5.199,5.2,4.042,4.132,4.132,"786,502"
2021-12-06,3.826,3.965,3.63,3.925,3.925,"760,950"
2021-12-13,3.975,4.085,3.617,3.69,3.69,"614,199"
2021-12-20,3.645,4.041,3.599,3.731,3.731,"425,872"
2021-12-27,3.958,4.261,3.536,3.73,3.73,"434,225"
2022-01-03,3.702,3.98,3.638,3.916,3.916,"572,865"
2022-01-10,4.144,4.879,3.977,4.262,4.262,"847,218"
2022-01-17,4.356,4.39,3.781,3.999,3.999,"519,307"
2022-01-24,3.915,7.346,3.876,4.639,4.639,"571,534"
2022-01-31,4.867,5.572,4.487,4.572,4.572,"961,389"
2022-02-07,4.384,4.468,3.876,3.941,3.941,"821,015"
2022-02-14,4.103,4.793,4.04,4.431,4.431,"609,646"
2022-02-21,4.594,4.94,4.293,4.47,4.47,"462,006"
2022-02-28,4.62,5.045,4.34,5.016,5.016,"623,962"
2022-03-07,5.041,5.184,4.45,4.725,4.725,"551,471"
2022-03-14,4.705,5.001,4.459,4.863,4.863,"402,537"
2022-03-21,4.909,5.577,4.748,5.571,5.571,"386,447"
2022-03-28,5.551,5.832,5.255,5.72,5.72,"601,290"
2022-04-04,5.745,6.538,5.65,6.278,6.278,"849,968"
2022-04-11,6.394,7.346,6.247,7.3,7.3,"836,974"
2022-04-18,7.367,8.065,6.438,6.534,6.534,"811,899"
2022-04-25,6.414,7.422,6.345,7.244,7.244,"478,058"
2022-05-02,7.412,8.996,7.219,8.043,8.043,"725,033"
2022-05-09,7.843,8.287,6.43,7.663,7.663,"701,108"
2022-05-16,7.7,8.548,7.663,8.083,8.083,"426,939"
2022-05-23,8.079,9.401,7.851,8.727,8.727,"404,957"
2022-05-30,8.874,9.057,8.118,8.523,8.523,"475,468"
2022-06-03,8.412,8.693,8.267,8.539,8.539,"71,100"
