Date,Price
2020-01-01,224.5
2020-02-01,215.32
2020-03-01,209.07
2020-04-01,218.99
2020-05-01,205.76
2020-06-01,198.42
2020-07-01,222.13
2020-08-01,223
2020-09-01,247.68
2020-10-01,272.36
2020-11-01,273
2020-12-01,268.55
2021-01-01,289.3
2021-02-01,289.4
2021-03-01,273.13
2021-04-01,280.95
2021-05-01,297.25
2021-06-01,285.55
2021-07-01,294.27
2021-08-01,324.52
2021-09-01,337.55
2021-10-01,354.67
2021-11-01,379.45
2021-12-01,376.81
2022-01-01,374.24
2022-02-01,390.5
2022-03-01,486.3
2022-04-01,495.28
,
,
,
,
,
,
,
,
,
,
,
,
